Time (msec);Timing Advance (degrees);PLX Engine Speed (rpm);PLX Manifold Absolute Pressure (bar);PLX O2 - Wideband (Lambda)
302553;14,50;4203;1,81;0,70
302753;14,50;4340;1,83;0,70
302954;14,50;4360;1,84;0,69
303166;15,00;4516;1,83;0,72
303363;15,00;4516;1,87;0,71
303563;15,50;4614;1,85;0,71
303763;16,50;4712;1,97;0,71
303958;16,00;4751;2,01;0,70
304156;16,50;4888;1,91;0,70
304356;16,50;4946;1,86;0,69
304553;16,50;4985;1,63;0,68
304751;22,50;5005;0,35;0,90
304972;32,50;4927;0,13;0,74
305171;24,00;4888;0,10;0,68
305368;24,00;4868;0,08;0,72
305566;24,00;4829;0,08;0,92
305758;24,00;4790;0,08;1,36
305956;24,00;4770;0,08;1,36
306153;24,00;4731;0,09;1,35
306349;24,00;4692;0,09;1,36
306530;24,00;4633;0,10;1,36
306727;24,00;4594;0,09;1,36
306924;24,00;4536;0,10;1,36
307121;24,00;4516;0,10;1,36
307322;24,00;4477;0,10;1,36
307496;24,00;4418;0,10;1,36
307677;24,00;4399;0,10;1,36
307873;24,00;4360;0,11;1,36
308071;24,00;4321;0,11;1,36
308271;24,00;4281;0,11;1,36
308478;24,00;4223;0,11;1,36
308683;24,00;4047;0,11;1,36
308857;24,00;3656;0,13;1,36
309054;24,00;3226;0,15;1,36
309252;24,00;2835;0,16;1,36
309453;23,50;2385;0,20;1,36
309625;21,00;2111;0,23;1,36
309823;21,00;2248;0,23;1,36
310022;23,00;2600;0,19;1,36
310203;24,00;2913;0,17;1,36
310399;24,00;2913;0,16;1,36
310596;24,00;2893;0,16;1,36
310793;24,00;2874;0,16;1,36
310993;24,00;2854;0,16;1,36
311169;24,00;2854;0,17;1,36
311345;24,00;2835;0,17;1,36
311543;24,00;2815;0,16;1,36
311741;24,00;2796;0,17;1,36
311937;24,00;2776;0,17;1,36
312135;24,00;2776;0,19;1,36
312335;33,00;2776;0,18;1,36
312534;33,00;2737;0,19;1,36
312733;33,00;2717;0,21;1,18
312953;33,00;2698;0,23;1,02
313153;33,00;2698;0,23;0,97
313352;33,00;2678;0,26;0,97
313525;34,50;2659;0,28;1,00
313726;37,00;2659;0,31;0,98
313924;39,00;2639;0,34;0,99
314099;40,00;2639;0,35;1,00
314299;40,50;2620;0,36;0,98
314499;41,50;2620;0,38;0,98
314672;42,00;2600;0,40;1,03
314852;41,50;2600;0,42;1,00
315051;41,00;2581;0,43;0,98
315230;40,50;2581;0,47;0,99
315427;40,00;2581;0,48;1,00
315627;39,50;2561;0,47;0,97
315828;39,00;2561;0,52;0,98
316028;39,00;2561;0,53;1,01
316228;38,50;2542;0,50;0,98
316427;38,00;2542;0,57;1,02
316627;37,50;2542;0,54;1,00
316824;37,50;2542;0,62;0,97
317022;37,00;2522;0,58;0,98
317223;37,00;2522;0,61;1,01
317436;36,50;2522;0,66;0,97
317607;36,00;2522;0,62;0,97
317806;35,50;2522;0,65;0,99
318003;35,50;2522;0,72;0,99
318200;35,00;2502;0,73;0,99
318398;35,00;2502;0,68;0,99
318596;35,00;2502;0,68;0,97
318796;34,50;2502;0,69;1,00
319000;34,50;2502;0,71;0,98
319204;34,50;2502;0,73;0,97
319401;34,50;2502;0,73;0,99
319574;34,50;2502;0,74;0,99
319772;34,00;2502;0,75;0,97
319971;34,00;2483;0,77;0,98
320169;34,00;2483;0,78;0,99
320345;33,00;2483;0,78;0,99
320544;33,00;2483;0,78;0,95
320741;33,00;2483;0,76;0,98
320938;33,00;2483;0,76;0,98
321117;32,00;2483;0,79;0,97
321316;30,50;2483;0,84;1,00
321491;30,00;2483;0,84;0,97
321689;29,50;2483;0,85;0,97
321910;29,00;2483;0,88;1,01
322106;29,00;2483;0,89;0,97
322304;29,00;2483;0,90;0,99
322507;29,00;2502;0,90;1,00
322706;29,50;2502;0,88;0,99
322903;29,50;2502;0,88;0,98
323102;30,00;2502;0,88;0,97
323278;30,00;2502;0,88;0,98
323476;30,00;2483;0,88;0,97
323675;30,50;2502;0,87;0,98
323874;31,00;2502;0,86;0,99
324049;31,00;2502;0,86;0,97
324249;31,50;2502;0,86;0,96
324478;31,50;2483;0,86;0,98
324676;32,00;2483;0,85;0,99
324853;32,50;2483;0,84;0,97
325054;32,50;2483;0,84;0,98
325228;33,00;2483;0,82;1,00
325424;33,00;2483;0,80;0,99
325625;33,00;2483;0,78;0,97
325799;33,00;2483;0,77;1,01
325997;33,00;2483;0,77;1,01
326195;33,00;2463;0,81;0,95
326396;32,50;2463;0,84;0,99
326569;32,00;2463;0,83;0,99
326743;32,00;2463;0,80;0,99
326934;32,00;2463;0,80;0,97
327135;32,00;2463;0,79;0,99
327307;31,50;2463;0,82;0,99
327504;32,00;2463;0,84;0,97
327704;32,00;2463;0,79;0,97
327906;32,00;2463;0,83;0,99
328081;33,00;2463;0,81;0,97
328264;33,00;2463;0,79;0,96
328461;33,50;2463;0,76;1,03
328659;33,50;2444;0,81;1,00
328857;33,50;2444;0,78;0,97
329054;33,50;2444;0,78;1,04
329255;33,50;2444;0,74;1,00
329462;34,00;2444;0,78;0,97
329661;34,00;2444;0,76;0,98
329862;33,50;2444;0,75;0,98
330063;33,50;2424;0,76;0,97
330261;33,50;2424;0,76;0,97
330461;33,50;2424;0,77;1,03
330660;33,50;2424;0,77;1,01
330849;33,50;2424;0,76;0,96
331045;33,50;2405;0,74;0,97
331246;34,00;2424;0,75;0,99
331447;34,50;2405;0,72;1,01
331645;35,00;2405;0,65;0,97
331816;35,00;2405;0,67;0,98
331999;35,50;2405;0,63;1,02
332179;36,00;2405;0,61;0,98
332376;36,50;2385;0,58;0,97
332574;36,50;2385;0,59;1,00
332792;37,00;2385;0,60;0,97
332964;37,00;2366;0,57;0,96
333162;37,00;2385;0,58;0,98
333363;37,50;2385;0,53;0,98
333561;38,50;2366;0,50;0,99
333758;39,50;2346;0,48;0,99
333932;39,50;2346;0,46;1,01
334129;40,00;2346;0,44;0,98
334327;40,00;2346;0,44;0,98
334527;40,00;2326;0,45;0,98
334724;39,50;2326;0,43;0,97
334900;39,50;2326;0,42;0,97
335099;39,50;2326;0,42;0,98
335298;39,50;2307;0,41;0,96
335469;39,50;2307;0,42;0,97
335671;39,50;2307;0,44;0,98
335869;39,50;2307;0,42;0,99
336043;39,50;2307;0,43;0,99
336244;39,50;2287;0,42;0,97
336445;39,00;2287;0,43;0,98
336641;39,00;2287;0,43;0,99
336814;39,00;2287;0,43;1,00
337015;39,00;2268;0,43;0,97
337192;39,00;2268;0,41;0,96
337389;39,00;2268;0,41;0,99
337602;38,00;2268;0,40;1,00
337804;36,00;2268;0,38;0,98
338002;35,00;2248;0,35;0,97
338205;31,00;2248;0,28;0,99
338396;31,00;2190;0,22;1,03
338595;21,50;2229;0,20;1,08
338796;21,50;2229;0,22;1,13
338996;21,50;2209;0,23;1,36
339195;21,00;2190;0,22;1,35
339392;21,00;2150;0,22;1,36
339593;21,00;2131;0,22;1,36
339792;20,50;2111;0,22;1,36
339987;20,50;2053;0,23;1,35
340193;20,50;2053;0,22;1,36
340391;20,00;2014;0,22;1,36
340569;20,00;1975;0,22;1,36
340763;19,50;1955;0,22;1,36
340957;19,50;1916;0,23;1,36
341158;19,50;1877;0,22;1,36
341361;19,00;1857;0,22;1,36
341559;19,00;1838;0,22;1,36
341757;19,00;1818;0,23;1,36
341956;19,00;1799;0,23;1,36
342158;18,50;1779;0,23;1,36
342355;18,50;1779;0,23;1,36
342553;18,50;1760;0,23;1,36
342771;18,50;1720;0,22;1,36
342970;18,50;1720;0,23;1,36
343168;18,00;1701;0,23;1,36
343370;18,00;1681;0,23;1,36
343567;18,00;1681;0,24;1,36
343767;18,00;1701;0,23;1,36
343968;18,00;1662;0,24;1,36
344157;18,00;1642;0,23;1,36
344355;18,00;1642;0,24;1,36
344552;17,50;1623;0,23;1,28
344746;17,50;1603;0,23;1,21
344961;17,50;1584;0,23;1,25
345162;17,50;1584;0,24;1,27
345367;17,50;1584;0,23;1,25
345570;17,50;1564;0,22;1,19
345768;17,50;1564;0,24;1,15
345945;17,50;1584;0,23;1,10
346142;17,50;1584;0,22;1,11
346342;17,50;1564;0,24;1,08
346527;17,50;1564;0,24;1,09
346717;17,00;1544;0,25;1,10
346918;17,00;1525;0,22;1,09
347093;17,00;1544;0,21;1,10
347292;17,00;1525;0,22;1,05
347517;17,00;1525;0,23;1,05
347717;17,00;1525;0,23;1,03
347917;17,00;1505;0,22;1,02
348089;17,00;1525;0,23;1,02
348286;17,00;1525;0,23;1,02
348488;17,00;1505;0,23;1,02
348686;17,00;1505;0,23;1,00
348860;17,00;1505;0,23;0,99
349058;17,00;1486;0,24;0,99
349259;17,00;1486;0,23;0,99
349454;17,00;1486;0,23;0,98
349652;16,50;1466;0,23;0,98
349851;16,50;1466;0,23;1,01
350072;16,50;1466;0,23;1,02
350271;16,50;1447;0,23;1,01
350474;16,50;1447;0,24;0,98
350647;16,50;1447;0,24;0,98
350847;16,50;1447;0,24;0,97
351046;16,00;1251;0,25;0,97
351220;20,00;1114;0,28;0,97
351417;25,00;1134;0,46;0,99
351615;28,00;1505;0,38;0,85
351813;17,00;1447;0,28;0,83
351990;16,00;1388;0,26;0,94
352188;17,00;1544;0,23;1,06
352384;18,00;1740;0,23;1,08
352584;19,00;1799;0,21;1,17
352783;18,50;1779;0,22;1,36
352957;18,50;1740;0,23;1,36
353135;18,50;1740;0,23;1,36
353335;18,50;1681;0,23;1,36
353534;18,00;1701;0,23;1,36
353731;18,00;1681;0,23;1,36
353930;18,00;1623;0,22;1,36
354107;18,00;1603;0,23;1,36
354306;17,50;1584;0,23;1,36
354481;17,50;1564;0,23;1,36
354680;17,50;1564;0,22;1,28
354880;17,00;1525;0,22;1,27
355060;17,00;1525;0,24;1,21
355258;17,00;1505;0,23;1,17
355470;16,50;1466;0,23;1,12
355659;16,50;1466;0,24;1,11
355860;16,50;1447;0,23;1,05
356055;16,50;1427;0,23;1,03
356254;16,50;1388;0,23;1,03
356479;16,00;1388;0,24;1,02
356682;16,00;1368;0,24;1,01
356878;16,00;1310;0,25;1,00
357079;15,50;1310;0,25;0,99
357277;15,50;1271;0,26;0,99
357452;15,50;1251;0,26;0,97
357651;17,00;1232;0,26;0,97
357847;16,50;1212;0,28;0,97
358045;20,00;1153;0,27;0,98
358235;19,50;1075;0,28;0,98
358433;19,00;997;0,29;0,98
358631;19,00;938;0,32;0,96
358841;19,00;938;0,34;0,94
359038;19,00;919;0,34;0,93
359236;19,00;899;0,34;0,91
359435;19,00;919;0,35;0,91
359633;19,00;919;0,35;0,91
359829;19,00;860;0,35;0,94
360028;19,00;899;0,36;0,94
360226;19,00;880;0,36;0,95
360399;19,00;841;0,36;0,96
360599;18,50;880;0,36;0,96
360795;18,00;860;0,36;0,96
360993;19,00;860;0,37;0,97
361192;17,00;880;0,36;0,97
361387;17,50;860;0,37;0,99
361598;14,00;841;0,37;0,99
361799;18,50;860;0,38;1,00
361970;17,00;841;0,38;0,99
362167;16,00;841;0,37;0,99
362366;10,00;938;0,40;0,98
362560;21,00;1349;0,41;0,98
362759;25,00;1251;0,38;0,91
362959;26,50;1447;0,56;0,97
363158;22,50;1427;0,80;0,98
363356;22,50;1505;0,85;0,99
363555;24,50;1564;0,85;0,94
363751;25,50;1603;0,87;0,95
363952;26,00;1642;0,86;1,04
364155;26,00;1720;0,85;1,04
364355;26,50;1779;0,85;1,02
364528;26,50;1799;0,86;1,02
364728;26,50;1857;0,84;1,00
364928;26,50;1975;0,85;0,98
365105;27,00;2014;0,86;0,97
365304;27,50;2092;0,85;0,98
365477;27,50;2150;0,87;1,01
365675;27,00;2248;0,87;0,98
365882;27,00;2326;0,88;0,97
366085;28,00;2424;0,87;0,96
366283;28,50;2502;0,88;0,98
366482;29,00;2581;0,90;0,99
366681;28,50;2659;0,90;1,01
366854;29,00;2757;0,93;0,97
367054;29,00;2854;0,94;1,01
367254;29,50;2932;0,93;1,02
367428;30,50;3030;0,89;0,96
367625;31,50;3128;0,95;0,94
367825;32,50;3226;0,92;0,93
368023;34,00;3284;0,86;0,93
368220;35,00;3324;0,69;0,92
368444;43,50;3324;0,31;0,81
368641;43,50;2796;0,17;0,89
368841;24,00;2542;0,17;0,95
369041;22,00;2190;0,22;1,20
369239;20,00;1838;0,25;1,36
369437;31,50;1955;0,31;1,36
369610;31,50;2053;0,32;0,81
369830;32,00;2053;0,34;0,88
370004;36,50;2053;0,40;0,93
370204;36,50;2053;0,48;0,94
370393;36,00;2053;0,53;0,95
370595;36,00;2053;0,54;0,95
370793;36,50;2072;0,55;0,96
370989;36,50;2053;0,56;0,97
371189;36,50;2072;0,52;0,99
371388;36,00;2072;0,53;0,99
371593;36,00;2092;0,54;0,98
371792;36,00;2092;0,53;0,96
371992;36,50;2092;0,55;0,97
372166;36,50;2092;0,58;0,98
372364;37,00;2092;0,54;0,99
372564;37,00;2092;0,49;1,02
372762;37,50;2092;0,50;1,00
372953;37,50;2092;0,44;0,99
373152;37,50;2092;0,49;0,97
373350;37,50;2072;0,46;0,98
373526;37,50;2092;0,48;0,98
373725;37,50;2092;0,44;0,98
373936;37,50;2092;0,43;0,99
374133;37,50;2092;0,47;1,00
374330;37,50;2072;0,48;0,98
374524;37,00;2092;0,48;0,97
374722;37,50;2092;0,47;0,98
374921;37,50;2072;0,48;1,00
375120;37,00;2092;0,48;0,97
375319;37,50;2072;0,50;0,97
375493;37,00;2072;0,49;0,97
375693;37,00;2072;0,49;0,99
375891;37,00;2072;0,47;0,99
376068;37,00;2072;0,47;0,97
376269;37,00;2072;0,47;0,97
376444;37,00;2072;0,47;0,99
376618;37,00;2072;0,48;0,98
376824;37,00;2092;0,49;0,96
377022;37,00;2072;0,47;0,99
377197;37,00;2072;0,49;0,99
377394;37,00;2072;0,50;0,97
377573;37,00;2092;0,53;0,97
377772;37,00;2072;0,54;0,99
377973;37,00;2092;0,54;0,99
378146;37,00;2092;0,51;0,97
378344;36,50;2072;0,53;0,96
378544;36,50;2092;0,53;0,98
378719;37,00;2092;0,50;0,98
378919;36,50;2092;0,49;1,00
379126;36,50;2092;0,54;0,97
379327;37,00;2092;0,51;0,97
379522;37,00;2092;0,51;0,98
379720;37,00;2111;0,48;0,99
379920;37,50;2092;0,49;1,01
380117;37,00;2092;0,50;0,97
380316;37,50;2092;0,50;0,98
380489;37,50;2092;0,49;0,98
380688;37,00;2111;0,50;0,99
380886;37,00;2111;0,50;0,98
381082;37,00;2092;0,51;0,97
381275;37,00;2111;0,48;0,98
381474;37,00;2092;0,51;0,99
381677;37,00;2111;0,52;0,99
381876;37,50;2111;0,49;0,97
382080;37,50;2111;0,49;0,98
382280;37,50;2111;0,46;1,00
382480;37,50;2092;0,49;1,00
382678;37,50;2111;0,50;0,97
382851;37,50;2111;0,50;0,97
383051;37,50;2092;0,49;0,98
383252;37,50;2111;0,47;1,00
383425;37,00;2111;0,51;0,98
383623;37,00;2111;0,48;0,96
383823;37,00;2111;0,50;0,98
384020;37,00;2111;0,49;0,98
384221;37,00;2092;0,51;0,99
384424;37,50;2111;0,48;0,97
384636;37,50;2111;0,50;0,98
384834;37,50;2111;0,48;1,00
385033;37,50;2111;0,49;0,97
385235;37,50;2111;0,46;0,96
385407;38,00;2111;0,47;0,97
385606;38,00;2111;0,46;0,99
385803;38,00;2111;0,46;1,00
386001;38,00;2092;0,46;0,97
386198;38,00;2092;0,41;0,96
386396;36,50;2092;0,44;0,97
386595;35,50;2072;0,39;0,99
386768;33,50;2072;0,36;0,99
386968;32,00;2072;0,35;0,98
387197;30,50;2053;0,33;0,97
387396;30,00;2033;0,31;0,97
387594;28,50;2014;0,30;1,01
387792;28,00;1994;0,30;1,00
387963;28,00;1994;0,28;1,00
388162;27,50;1975;0,27;0,99
388358;27,00;1955;0,26;0,99
388558;27,00;1935;0,25;0,97
388757;26,50;1916;0,24;0,98
388954;26,50;1896;0,25;0,99
389126;26,50;1877;0,25;1,00
389327;26,00;1857;0,24;1,00
389526;19,00;1838;0,24;0,98
389725;19,00;1818;0,23;1,05
389898;18,50;1779;0,22;1,06
390096;18,50;1740;0,22;1,03
390293;18,00;1720;0,21;1,09
390492;18,00;1701;0,25;1,08
390690;24,00;1662;0,29;1,07
390905;26,50;1662;0,36;0,92
391077;29,00;1642;0,38;0,90
391276;30,50;1623;0,40;0,92
391485;31,00;1642;0,43;0,94
391686;32,50;1623;0,45;0,94
391881;32,50;1603;0,46;0,95
392081;32,00;1603;0,47;0,94
392279;32,00;1603;0,48;0,94
392455;31,50;1603;0,49;0,95
392650;31,50;1603;0,49;0,94
392853;31,50;1603;0,47;0,95
393051;31,50;1603;0,46;0,94
393248;32,00;1584;0,47;0,95
393444;32,00;1603;0,48;0,96
393619;31,50;1603;0,46;0,96
393816;32,00;1603;0,46;0,96
394014;32,00;1603;0,46;0,96
394209;32,00;1603;0,48;0,97
394403;32,00;1603;0,49;0,97
394600;32,00;1584;0,49;0,98
394803;31,50;1584;0,48;0,98
395002;31,00;1603;0,53;0,99
395198;31,00;1603;0,57;1,02
395398;31,50;1623;0,61;0,94
395595;31,50;1603;0,64;0,96
395797;31,00;1623;0,65;0,98
395997;30,50;1623;0,71;0,99
396197;29,50;1623;0,75;0,99
396393;29,00;1662;0,79;0,98
396591;28,50;1681;0,80;0,98
396800;28,00;1701;0,82;0,97
396998;28,00;1740;0,81;0,99
397182;28,00;1740;0,81;0,99
397381;28,50;1760;0,80;1,00
397558;28,00;1779;0,80;0,97
397756;28,00;1799;0,82;0,97
397953;28,00;1818;0,81;0,98
398151;28,50;1838;0,82;0,99
398355;28,50;1877;0,79;0,96
398557;29,00;1896;0,79;0,97
398756;29,50;1896;0,81;0,99
398931;29,50;1935;0,79;0,99
399128;29,50;1955;0,81;0,98
399354;30,00;1975;0,80;0,97
399553;30,00;1994;0,79;0,99
399754;30,50;2014;0,77;1,00
399930;31,00;2033;0,78;0,96
400128;31,50;2033;0,76;0,96
400328;32,00;2072;0,76;0,99
400505;33,50;2092;0,71;0,99
400703;34,50;2092;0,71;1,00
400901;35,50;2111;0,65;0,99
401082;36,50;2131;0,58;0,97
401256;37,00;2111;0,55;0,97
401453;37,50;2131;0,50;1,00
401651;38,00;2131;0,45;1,01
401853;37,50;2131;0,42;0,97
402025;34,50;2131;0,37;0,97
402226;32,50;2131;0,33;0,96
402412;30,50;2092;0,31;0,96
402609;29,00;2072;0,27;0,97
402807;29,00;2072;0,24;0,98
403010;28,50;2072;0,25;0,99
403208;28,50;2033;0,26;1,01
403409;28,00;2014;0,24;1,00
403583;20,00;1994;0,22;0,98
403781;20,00;1955;0,21;1,05
403978;19,50;1955;0,21;1,18
404176;19,50;1916;0,22;1,36
404376;19,50;1896;0,23;1,36
404578;19,00;1857;0,23;1,36
404780;19,00;1838;0,26;1,36
404959;25,00;1760;0,28;1,36
405157;28,00;1799;0,33;1,36
405356;31,00;1799;0,37;1,09
405553;31,00;1799;0,37;0,99
405756;31,50;1799;0,37;0,97
405958;31,00;1779;0,38;0,97
406159;32,00;1779;0,40;0,98
406357;34,00;1779;0,42;0,99
406529;34,50;1779;0,43;0,99
406731;34,50;1779;0,44;0,98
406926;34,50;1779;0,44;0,97
407125;34,50;1779;0,45;0,98
407323;34,00;1779;0,45;0,99
407514;34,00;1799;0,46;1,00
407714;34,00;1799;0,48;0,98
407913;33,50;1779;0,51;0,97
408111;33,50;1779;0,52;0,98
408318;33,00;1799;0,54;0,98
408516;33,50;1818;0,57;0,98
408712;34,00;1818;0,57;1,00
408918;34,00;1818;0,59;0,99
409115;34,00;1818;0,59;0,98
409289;34,00;1838;0,62;0,98
409486;34,00;1857;0,61;1,00
409685;34,50;1857;0,62;0,97
409882;34,50;1857;0,64;0,97
410080;34,50;1877;0,64;0,98
410258;34,50;1877;0,62;0,99
410456;34,50;1896;0,62;0,97
410654;35,00;1896;0,63;0,97
410873;34,50;1916;0,63;1,00
411072;35,00;1916;0,64;0,97
411270;35,00;1916;0,61;0,95
411474;35,00;1935;0,61;0,97
411650;35,50;1935;0,57;1,01
411849;35,50;1935;0,55;1,01
412025;35,50;1935;0,55;0,98
412224;35,50;1935;0,53;0,97
412423;35,50;1955;0,52;0,97
412596;35,50;1955;0,53;0,98
412783;36,00;1955;0,50;0,99
412981;36,00;1935;0,48;0,98
413178;35,50;1935;0,49;0,97
413351;35,50;1955;0,48;0,97
413551;35,50;1935;0,48;0,98
413729;35,50;1935;0,48;0,98
413916;35,50;1935;0,49;0,99
414087;35,50;1935;0,51;0,97
414286;34,50;1935;0,55;0,96
414486;34,50;1935;0,58;0,97
414666;33,50;1955;0,65;0,97
414865;33,00;1955;0,69;0,98
415037;31,50;1975;0,71;1,00
415238;30,00;1975;0,77;0,99
415424;29,50;1994;0,80;0,96
415621;29,50;2014;0,81;0,98
415809;29,00;2033;0,82;0,99
416008;29,00;2053;0,86;0,97
416207;29,00;2072;0,84;0,97
416405;29,00;2111;0,86;1,00
416582;28,50;2131;0,84;1,02
416757;28,50;2150;0,86;0,97
416958;28,50;2170;0,85;0,99
417156;29,00;2209;0,84;1,01
417330;29,00;2209;0,84;0,99
417531;29,50;2248;0,84;0,96
417729;30,00;2268;0,83;0,98
417929;30,50;2287;0,82;0,98
418102;31,00;2307;0,82;0,99
418300;31,50;2326;0,81;0,99
418499;32,00;2346;0,80;0,96
418700;32,50;2366;0,79;0,99
418899;33,00;2366;0,77;0,99
419098;33,50;2405;0,77;0,96
419300;34,00;2405;0,76;1,02
419497;34,00;2424;0,68;1,01
419677;34,50;2444;0,70;0,97
419877;35,00;2444;0,67;0,98
420053;35,00;2483;0,68;0,99
420252;35,50;2463;0,67;0,96
420448;35,50;2483;0,64;0,97
420646;36,00;2502;0,63;0,99
420843;36,00;2502;0,63;0,97
421043;36,50;2522;0,62;0,96
421242;37,00;2522;0,64;0,97
421439;38,00;2522;0,54;1,01
421636;39,00;2522;0,49;0,99
421825;40,00;2522;0,49;0,98
422022;41,00;2522;0,40;0,98
422221;41,50;2522;0,38;0,99
422418;39,00;2502;0,32;0,98
422617;35,50;2502;0,30;0,92
422816;33,50;2483;0,28;0,92
423036;33,00;2463;0,26;0,96
423234;33,00;2444;0,24;0,99
423432;33,00;2424;0,25;1,04
423633;33,00;2405;0,23;0,98
423830;32,50;2366;0,23;0,97
424026;32,00;2346;0,23;0,99
424223;32,00;2326;0,24;0,98
424420;31,50;2307;0,23;0,99
424594;31,50;2287;0,24;1,02
424796;31,00;2268;0,24;0,99
424970;31,00;2248;0,23;0,98
425169;30,50;2209;0,24;0,98
425365;30,00;2209;0,27;1,00
425568;30,50;2170;0,30;1,02
425741;32,00;2170;0,32;1,02
425939;34,00;2170;0,37;0,95
426137;36,00;2170;0,42;0,94
426335;38,50;2150;0,44;0,97
426509;38,00;2150;0,45;0,97
426684;38,00;2150;0,47;0,97
426883;38,00;2150;0,48;0,97
427085;38,00;2150;0,48;1,00
427281;37,50;2150;0,47;0,99
427481;37,00;2131;0,50;0,97
427678;36,00;2150;0,55;0,98
427876;36,00;2131;0,58;0,97
428052;36,00;2131;0,61;0,99
428254;36,00;2170;0,63;1,01
428452;36,00;2150;0,60;0,97
428635;36,50;2150;0,60;0,97
428836;36,50;2150;0,57;1,02
429034;36,50;2170;0,60;0,98
429233;36,00;2170;0,60;0,97
429434;36,00;2150;0,60;0,99
429629;36,00;2190;0,62;0,97
429824;35,00;2170;0,63;0,97
430023;35,00;2209;0,64;0,98
430220;35,00;2190;0,64;0,99
430418;35,00;2209;0,66;0,97
430593;34,50;2209;0,66;0,98
430792;34,50;2209;0,65;0,98
430991;34,50;2229;0,67;0,99
431165;34,50;2229;0,67;0,98
431362;34,00;2229;0,68;0,96
431557;35,00;2248;0,63;0,97
431756;36,00;2248;0,61;0,99
431958;36,00;2248;0,60;1,00
432133;36,00;2248;0,61;0,97
432329;35,00;2248;0,63;0,97
432529;34,50;2268;0,67;0,98
432726;33,50;2268;0,69;0,99
432924;33,00;2287;0,74;0,98
433117;32,50;2307;0,76;0,98
433315;32,00;2326;0,77;0,98
433514;31,50;2307;0,78;1,10
433690;31,50;2366;0,79;0,92
433911;31,50;2366;0,81;0,96
434112;31,50;2366;0,80;0,97
434312;32,00;2405;0,78;0,97
434512;33,00;2405;0,79;0,97
434710;33,00;2424;0,78;1,01
434908;32,50;2444;0,76;0,95
435108;32,00;2463;0,80;0,93
435311;32,50;2483;0,81;0,96
435506;33,00;2502;0,81;0,96
435703;32,50;2522;0,83;0,97
435903;31,00;2542;0,82;0,98
436101;29,50;2561;0,86;0,99
436302;28,50;2600;0,88;0,98
436500;28,50;2639;0,90;0,98
436673;28,50;2659;0,89;0,97
436872;28,50;2717;0,91;0,99
437071;28,50;2757;0,93;0,96
437248;29,00;2815;0,93;0,89
437444;29,00;2854;0,94;0,94
437645;29,50;2874;0,94;0,95
437844;30,00;2913;0,94;0,94
438040;30,00;2972;0,93;0,94
438233;31,00;3011;0,89;0,93
438433;31,50;3050;0,87;0,93
438630;32,50;3089;0,82;0,93
438824;33,50;3108;0,76;0,93
439036;34,50;3128;0,71;0,94
439234;35,50;3148;0,79;0,92
439433;36,50;3167;0,69;0,88
439605;39,50;3187;0,67;0,86
439806;42,50;3206;0,50;0,88
440005;43,50;3187;0,41;0,89
440179;43,50;3187;0,30;0,85
440376;39,50;3167;0,27;0,80
440575;36,00;3148;0,22;0,79
440774;33,00;3128;0,21;0,81
440970;33,00;3108;0,18;0,89
441144;33,00;3089;0,14;0,93
441344;24,00;3050;0,14;1,31
441543;24,00;3011;0,14;1,36
441743;24,00;2991;0,13;1,36
441944;24,00;2952;0,13;1,36
442144;24,00;2932;0,14;1,36
442341;24,00;2874;0,16;1,36
442540;24,00;2854;0,16;1,36
442718;24,00;2815;0,17;1,36
442918;24,00;2796;0,17;1,36
443116;24,00;2757;0,17;1,36
443312;24,00;2717;0,18;1,36
443519;24,00;2678;0,18;1,36
443717;24,00;2620;0,18;1,36
443916;23,50;2581;0,18;1,36
444117;23,50;2542;0,19;1,36
444294;23,50;2522;0,18;1,36
444493;23,00;2502;0,22;1,36
444669;37,00;2444;0,33;1,36
444867;41,00;2444;0,40;1,09
445064;40,50;2463;0,42;0,95
445262;40,00;2463;0,41;0,95
445473;40,50;2463;0,40;0,95
445671;39,00;2463;0,38;0,96
445868;37,00;2444;0,34;0,97
446079;36,00;2424;0,32;0,98
446278;34,00;2405;0,29;0,97
446479;32,50;2405;0,28;0,97
446679;39,00;2385;0,39;0,99
446878;39,00;2385;0,45;0,95
447077;38,00;2405;0,48;0,95
447278;37,50;2385;0,55;0,97
447475;37,00;2405;0,54;0,98
447671;36,50;2405;0,56;0,99
447873;36,00;2424;0,62;0,99
448096;35,00;2405;0,64;0,97
448294;34,00;2444;0,72;0,98
448479;33,50;2444;0,72;0,98
448679;34,00;2463;0,77;1,00
448881;34,00;2483;0,76;1,00
449078;34,00;2502;0,75;0,97
449284;34,50;2502;0,76;1,01
449455;34,50;2522;0,77;1,00
449653;35,00;2542;0,69;0,97
449851;35,50;2542;0,71;0,99
450049;35,50;2561;0,70;1,00
450250;36,00;2581;0,72;0,97
450424;36,00;2581;0,69;0,97
450623;36,50;2600;0,66;1,00
450821;37,00;2600;0,63;0,97
451020;37,50;2620;0,62;0,97
451193;37,50;2620;0,63;1,01
451394;37,50;2639;0,64;0,98
451594;37,00;2639;0,64;0,93
451770;37,50;2659;0,65;0,98
451967;37,00;2659;0,63;0,98
452168;37,00;2678;0,64;0,99
452339;37,00;2698;0,67;0,97
452539;36,00;2698;0,71;0,95
452738;35,00;2717;0,78;0,97
452924;33,50;2737;0,82;0,96
453125;32,50;2757;0,84;0,97
453339;31,50;2796;0,88;1,05
453564;31,00;2815;0,91;1,00
453765;30,00;2874;0,94;0,94
