Time (msec);Timing Advance (degrees);PLX Engine Speed (rpm);PLX Manifold Absolute Pressure (bar);PLX O2 - Wideband (Lambda)
59558;16,00;1388;0,23;0,97
59755;16,00;1388;0,23;0,98
59965;16,00;1408;0,23;0,99
60161;16,50;1408;0,23;1,03
60358;16,50;1427;0,23;0,99
60533;16,50;1427;0,22;0,98
60731;16,50;1408;0,23;0,97
60929;16,50;1408;0,23;0,98
61129;16,50;1427;0,23;0,97
61301;16,50;1408;0,23;1,01
61499;16,50;1408;0,23;1,00
61701;16,50;1408;0,23;0,99
61877;16,50;1388;0,23;0,99
62076;16,00;1388;0,23;0,97
62274;16,00;1368;0,24;0,97
62472;16,00;1368;0,23;0,97
62646;16,00;1329;0,24;0,98
62845;16,00;1329;0,24;0,97
63042;16,00;1310;0,24;0,98
63243;16,50;1212;0,26;0,98
63444;19,50;1075;0,28;0,97
63645;19,00;997;0,29;0,97
63839;19,00;978;0,30;0,95
64040;19,00;1153;0,30;0,91
64241;16,00;1408;0,26;0,89
64443;17,00;1525;0,23;0,89
64654;17,00;1505;0,22;0,97
64860;17,00;1505;0,23;1,19
65057;16,50;1466;0,22;1,18
65254;16,50;1427;0,23;1,14
65455;16,50;1408;0,23;1,11
65655;16,00;1368;0,23;1,09
65853;16,00;1368;0,24;1,08
66055;16,00;1349;0,24;0,99
66254;16,00;1368;0,23;0,97
66452;16,00;1368;0,24;0,97
66649;16,00;1368;0,24;0,97
66845;16,00;1388;0,23;1,00
67037;16,00;1368;0,24;0,99
67238;16,00;1368;0,26;1,01
67438;22,00;1408;0,29;0,99
67638;22,50;1388;0,30;0,97
67842;23,00;1408;0,30;0,88
68041;23,50;1427;0,31;0,91
68240;22,50;1447;0,29;0,94
68439;22,50;1388;0,27;0,95
68613;16,50;1408;0,27;0,97
68814;16,50;1427;0,26;1,00
69013;16,50;1447;0,26;1,05
69187;16,50;1447;0,26;1,06
69383;16,50;1447;0,26;1,06
69579;16,50;1427;0,25;1,06
69779;16,50;1427;0,25;1,09
69977;16,50;1427;0,23;1,12
70153;16,50;1427;0,23;1,14
70353;16,50;1408;0,23;1,14
70552;16,50;1408;0,24;1,22
70748;16,50;1408;0,23;1,24
70945;16,50;1408;0,24;1,23
71120;16,50;1408;0,24;1,22
71317;16,50;1388;0,25;1,17
71516;16,50;1408;0,25;1,16
71717;16,50;1388;0,25;1,09
71889;16,50;1408;0,26;1,05
72084;16,50;1388;0,24;1,02
72281;16,50;1408;0,24;1,01
72482;16,50;1388;0,24;1,00
72680;16,50;1427;0,27;0,99
72879;20,50;1427;0,28;1,01
73056;22,50;1427;0,29;0,96
73254;22,50;1447;0,27;0,89
73437;16,50;1427;0,27;0,90
73611;16,50;1447;0,26;0,95
73811;16,50;1447;0,26;1,03
74009;16,50;1427;0,26;1,16
74208;16,50;1447;0,26;1,22
74407;16,50;1427;0,26;1,18
74607;16,50;1447;0,27;1,09
74808;16,50;1427;0,27;1,04
75006;16,50;1466;0,28;1,02
75205;16,50;1486;0,27;1,01
75402;16,50;1505;0,27;1,02
75579;16,50;1486;0,27;1,01
75776;17,00;1486;0,26;1,01
75975;16,50;1486;0,24;1,00
76174;17,00;1486;0,23;1,01
76374;17,00;1486;0,23;1,05
76577;17,00;1486;0,23;1,15
76773;17,00;1505;0,22;1,21
76968;17,00;1505;0,23;1,17
77168;16,50;1486;0,23;1,18
77378;16,50;1427;0,23;1,20
77577;16,50;1368;0,24;1,17
77777;16,00;1329;0,24;1,17
77952;16,00;1329;0,25;1,14
78150;16,00;1329;0,25;1,07
78349;16,00;1329;0,25;1,02
78551;15,50;1329;0,25;1,02
78750;15,50;1329;0,25;1,03
78951;16,00;1310;0,24;1,05
79164;16,00;1310;0,25;1,05
79362;16,00;1310;0,25;1,03
79563;15,50;1329;0,24;1,02
79762;15,50;1310;0,26;1,00
79962;15,50;1290;0,25;1,01
80167;15,50;1251;0,26;1,00
80363;16,00;1232;0,27;0,97
80561;18,00;1212;0,26;0,98
80757;19,00;1193;0,27;0,98
