Tune Datalog export of DL
Tune file: Race map for Sunday - TPS disabled4.bin
Total Frames: 7976
Duration :00:04:59.547
Frame,Duration,RPM,VSS(kmh),Gear,MAP(mBar),Boost(psi),PA(mBar),TPS(%),TPS Voltage(v),INJ Duration(ms),INJ Duty(%),Fuel Value,IGN Table(degrees),IGN Final(degrees),ECT(C),IAT(C),A/F Ratio,D14(v),BAT Voltage(v),ELD Voltage(v),MAP Voltage(v),MIL
58,2.257,1831,0,0,311,0,4082,0,0.47,0.41,1.00,128.75,24.75,25.75,88,55,16.32,3.18,14.16,4.57,0.33,OFF
59,2.303,1827,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.75,25.50,88,55,16.22,3.14,13.87,4.57,0.31,OFF
60,2.336,1827,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.75,25.50,88,55,15.93,3.02,13.87,4.57,0.31,OFF
61,2.37,1836,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,25.00,25.75,88,55,15.19,2.71,14.06,4.55,0.31,OFF
62,2.4,1832,0,0,295,0,4082,0,0.47,0.41,1.00,129.00,25.00,25.75,88,55,15.55,2.86,14.06,4.55,0.31,OFF
63,2.428,1831,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,25.00,25.75,88,55,15.50,2.84,14.06,4.57,0.33,OFF
64,2.477,1831,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,25.00,25.75,88,55,15.74,2.94,14.06,4.55,0.33,OFF
65,2.507,1832,0,0,295,0,4082,0,0.47,0.41,1.00,129.00,25.00,25.75,88,55,15.74,2.94,14.06,4.57,0.31,OFF
66,2.558,1834,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,25.00,25.75,88,55,15.69,2.92,13.87,4.55,0.33,OFF
67,2.588,1829,0,0,295,0,4082,0,0.47,0.41,1.00,129.50,24.75,25.50,88,55,15.69,2.92,13.87,4.57,0.31,OFF
68,2.637,1827,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,16.22,3.14,13.96,4.55,0.31,OFF
69,2.669,1820,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,16.22,3.14,13.96,4.57,0.31,OFF
70,2.699,1822,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,15.74,2.94,13.96,4.57,0.31,OFF
71,2.733,1827,0,0,311,0,4082,0,0.47,0.40,1.00,124.00,24.75,25.50,88,55,15.36,2.78,13.96,4.57,0.33,OFF
72,2.763,1838,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,25.00,25.75,88,55,15.36,2.78,13.96,4.57,0.33,OFF
73,2.794,1834,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,25.00,25.75,88,55,15.84,2.98,13.87,4.57,0.33,OFF
74,2.844,1840,0,0,295,0,4082,0,0.47,0.40,1.00,124.50,25.00,25.75,88,55,16.27,3.16,13.87,4.57,0.31,OFF
75,2.874,1823,0,0,295,0,4082,0,0.47,0.40,1.00,124.25,24.75,25.50,88,55,15.50,2.84,14.06,4.57,0.31,OFF
76,2.908,1818,0,0,295,0,4082,0,0.47,0.40,1.00,124.00,24.50,25.50,88,55,15.50,2.84,14.06,4.57,0.31,OFF
77,2.939,1806,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.50,25.25,88,55,15.89,3.00,14.06,4.55,0.33,OFF
78,2.961,1795,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,15.45,2.82,14.06,4.55,0.33,OFF
79,3.004,1782,0,0,295,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,16.08,3.08,14.06,4.55,0.31,OFF
80,3.035,1784,0,0,311,0,4082,0,0.47,0.39,1.00,123.75,24.25,25.00,88,55,16.08,3.08,13.77,4.55,0.33,OFF
81,3.072,1784,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.25,25.00,88,55,15.36,2.78,13.77,4.57,0.33,OFF
82,3.102,1773,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.00,24.75,88,55,15.14,2.69,13.77,4.55,0.33,OFF
83,3.13,1768,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.00,24.75,88,55,15.19,2.71,13.96,4.55,0.31,OFF
84,3.178,1773,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.00,24.75,88,55,15.98,3.04,13.96,4.57,0.31,OFF
85,3.198,1780,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.00,24.75,88,55,15.41,2.80,13.96,4.55,0.33,OFF
86,3.227,1784,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.89,3.00,13.96,4.55,0.33,OFF
87,3.275,1778,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.00,24.75,88,55,15.89,3.00,13.77,4.55,0.33,OFF
88,3.301,1785,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.25,25.00,88,55,15.89,3.00,13.77,4.55,0.33,OFF
89,3.332,1772,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.00,24.75,88,55,15.89,3.00,13.77,4.55,0.33,OFF
90,3.366,1780,0,0,311,0,4082,0,0.47,0.41,1.00,129.75,24.00,24.75,88,55,16.08,3.08,13.96,4.55,0.33,OFF
91,3.397,1777,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.00,24.75,88,55,15.74,2.94,13.96,4.57,0.33,OFF
92,3.426,1784,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.25,25.00,88,55,15.31,2.76,13.96,4.55,0.33,OFF
93,3.46,1790,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.25,25.00,88,55,16.08,3.08,14.06,4.55,0.33,OFF
94,3.491,1799,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.50,25.25,88,55,15.69,2.92,14.06,4.57,0.33,OFF
95,3.522,1799,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.50,25.25,88,55,16.13,3.10,14.06,4.55,0.33,OFF
96,3.555,1811,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.50,25.25,88,55,15.89,3.00,14.06,4.57,0.33,OFF
97,3.585,1811,0,0,311,0,4082,0,0.47,0.41,1.00,129.00,24.50,25.25,88,55,15.89,3.00,14.06,4.55,0.33,OFF
98,3.634,1813,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.75,25.50,88,55,15.74,2.94,13.96,4.55,0.33,OFF
99,3.666,1802,0,0,295,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.25,88,55,15.19,2.71,13.96,4.57,0.31,OFF
100,3.696,1809,0,0,311,0,4082,0,0.47,0.41,1.00,129.25,24.50,25.25,88,55,16.08,3.08,13.87,4.55,0.33,OFF
